model,prompt_type,conjunctive,disjunctive,overall,conjunctive_n,disjunctive_n
deepseek-reasoner,default,0.6869565217391305,0.957983193277311,0.8224698575082208,115,119
gpt-4o,default,0.7,0.9642857142857143,0.8321428571428571,120,112
gpt-4o,cot,0.2112676056338028,0.7916666666666666,0.5014671361502347,71,72
gpt-4o,react,0.09722222222222222,0.890625,0.4939236111111111,72,64
gpt-4o,reflexion,0.10416666666666667,0.9166666666666666,0.5104166666666666,48,48
deepseek-chat,default,0.6625,0.5125,0.5874999999999999,80,80
deepseek-chat,react,0.42857142857142855,0.671875,0.5502232142857143,112,128
gpt-4o-mini,default,0.2421875,0.3046875,0.2734375,128,128
gpt-4o-mini,cot,0.010416666666666666,0.375,0.19270833333333334,96,96
gpt-4o-mini,react,0.09375,0.6484375,0.37109375,128,128
gpt-4o-mini,reflexion,0.03125,0.21875,0.125,96,96
gemma3:27b,default,0.15625,0.15625,0.15625,96,96
qwq,default,0.08333333333333333,0.7291666666666666,0.40625,48,48
