participant_id,true_rule,chosen_rule,rule_correct,true_blicket_objects,chosen_objects,objects_correct,num_tests_before_qa,action_history_length
664cfc36d05e1ed37dd9f91e,disjunctive,disjunctive,True,"[2, 3]","[2, 3]",True,3,13
667984ded209db9088acaf30,disjunctive,disjunctive,True,"[0, 3]","[0, 3]",True,4,9
6122548871de12f3a454e5cb,disjunctive,disjunctive,True,"[2, 3]","[2, 3]",True,4,14
6473bd2d95a488b826bc24c4,disjunctive,disjunctive,True,"[2, 3]","[2, 3]",True,4,12
65006ac193352f62ba59a095,disjunctive,disjunctive,True,"[0, 1]","[0, 1]",True,4,16
5fa9dab94f9d9c26d3db5226,disjunctive,disjunctive,True,"[1, 3]","[1, 3]",True,4,15
5f76586f6ce6850f223a25ab,disjunctive,disjunctive,True,"[2, 3]","[2, 3]",True,4,14
667b4043a7f74c3ff540a60d,disjunctive,disjunctive,True,"[2, 3]","[2, 3]",True,4,12
5e3b759740e302397f294a2d,disjunctive,disjunctive,True,"[0, 3]","[0, 3]",True,4,14
668ac4c1b3549e7f656154d4,disjunctive,disjunctive,True,"[0, 3]","[0, 3]",True,4,12
62e42aaad0079d2ff8e97597,disjunctive,disjunctive,True,"[0, 2]","[0, 2]",True,4,12
669abec15946546f5a97a5ff,disjunctive,disjunctive,True,"[1, 2]","[1, 2]",True,4,11
589f4b4b4d580c0001e0a155,disjunctive,disjunctive,True,"[0, 2]","[0, 2]",True,4,12
67758b914f06b14a31669644,disjunctive,disjunctive,True,"[1, 3]","[1, 3]",True,4,11
66e0bc36ad31c37654af5fc8,disjunctive,disjunctive,True,"[0, 1]","[0, 1]",True,4,15
5bdc6d16d9bc4e0001134779,disjunctive,disjunctive,True,"[0, 1]","[0, 1]",True,4,11
5db06c106756f6001753feb6,disjunctive,disjunctive,True,"[0, 1]","[0, 1]",True,5,21
672cb8ccdb8232e7fee580ed,disjunctive,disjunctive,True,"[0, 2]","[0, 2]",True,5,21
61522983a596d0aa25117787,disjunctive,disjunctive,True,"[2, 3]","[2, 3]",True,5,13
63d1ab339162ce0fb4e50be7,conjunctive,conjunctive,True,"[0, 1]","[0, 1]",True,5,23
5ecb0bb39b4189656f60872b,disjunctive,disjunctive,True,"[0, 1]","[0, 1]",True,5,16
5e92917cb554e90d387a37da,disjunctive,disjunctive,True,"[1, 2]","[1, 2]",True,5,17
63614a372fef8174fe8363f1,disjunctive,disjunctive,True,"[2, 3]","[2, 3]",True,5,15
60fcc292d13ae9614d4a77a7,disjunctive,disjunctive,True,"[1, 3]","[1, 3]",True,5,15
6234e9c483c8aa1f1c5f046a,disjunctive,disjunctive,True,"[0, 3]","[0, 3]",True,6,16
6452945d35a44481f5757a6c,disjunctive,disjunctive,True,"[0, 2]","[0, 2]",True,6,17
610329975d39376c37360d3c,disjunctive,disjunctive,True,"[1, 3]","[1, 3]",True,6,22
60ff33eea57872b7188f12e2,disjunctive,disjunctive,True,"[0, 2]","[0, 2]",True,6,20
67c0af3cdbc67c93008f0616,disjunctive,disjunctive,True,"[1, 3]","[1, 3]",True,6,22
5d439cb393066e001a5a4d26,disjunctive,disjunctive,True,"[2, 3]","[2, 3]",True,6,19
66444fab51653be6d035845e,conjunctive,conjunctive,True,"[2, 3]","[2, 3]",True,6,16
66ee186efc9a208ef9446a30,disjunctive,disjunctive,True,"[0, 1]","[0, 1]",True,6,20
609916ce82bc0800c9196cde,disjunctive,disjunctive,True,"[0, 2]","[0, 2]",True,6,23
66ae0709d8dd8981a2d6ee04,disjunctive,disjunctive,True,"[1, 3]","[1, 3]",True,6,20
60fd05fdd8f4081c41972a1b,disjunctive,disjunctive,True,"[0, 3]","[0, 3]",True,6,18
665a8db299aa3f8fb8ff8c4d,disjunctive,disjunctive,True,"[2, 3]","[2, 3]",True,7,25
6307bd3bb93e804d22332b3e,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,7,19
6684bbcfad6facc374fd6523,disjunctive,disjunctive,True,"[0, 2]","[0, 2]",True,7,21
65da5ea53cf757c346ee5b18,disjunctive,disjunctive,True,"[1, 2]","[1, 2]",True,7,29
63b6ef9027eb90f292852ee4,disjunctive,disjunctive,True,"[0, 2]","[0, 2]",True,7,23
628eab48a8c8dc1ecec338dd,disjunctive,disjunctive,True,"[0, 1]","[0, 1]",True,7,18
56e32190e414dc000c8b40ae,disjunctive,disjunctive,True,"[1, 2]","[1, 2]",True,7,23
5dac4dad5e53cc001499f1f6,conjunctive,conjunctive,True,"[2, 3]","[2, 3]",True,8,24
66311cdfdc6a541751ee782a,disjunctive,disjunctive,True,"[0, 1]","[0, 1]",True,8,30
661afa4a5efc676a1b16a98a,disjunctive,disjunctive,True,"[0, 2]","[0, 2]",True,8,26
5c452213a6c3df0001d2014f,disjunctive,disjunctive,True,"[0, 1]","[0, 1]",True,8,26
60bea43aa26919517334ed4a,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,8,29
62a779f845a7840040d41bf8,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,8,28
66de20cd48ec5f6eed0efb42,conjunctive,conjunctive,True,"[0, 1]","[0, 1]",True,8,26
6676ddf4aeae188a30f824f5,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,8,18
62740f4f578f0114e649016d,conjunctive,conjunctive,True,"[1, 2]","[1, 2]",True,8,30
6637f53e203e2f5f706d70ec,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,8,28
60db3cf3270edd7c9c7e0bd3,conjunctive,conjunctive,True,"[0, 3]","[0, 3]",True,9,32
66df530525ff636218e380bf,conjunctive,conjunctive,True,"[0, 3]","[0, 3]",True,9,29
6655fd511b6c8d1fd05de12d,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,9,43
65e8d07f6dee8323f49a2b5b,conjunctive,conjunctive,True,"[0, 3]","[0, 3]",True,9,33
5c50046b2b89f500015e5f6b,conjunctive,conjunctive,True,"[0, 1]","[0, 1]",True,9,25
58380cb9f1faf8000129673a,disjunctive,disjunctive,True,"[0, 1]","[0, 1]",True,10,37
5e3f778e91be661ca60e3540,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,10,28
610825355ae77bd1867d118e,conjunctive,conjunctive,True,"[1, 2]","[1, 2]",True,10,28
6722cf4c8679d8fe777e4364,conjunctive,conjunctive,True,"[0, 1]","[0, 1]",True,11,27
66464711c6986686ce7a99ec,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,11,31
655fd05c12d38751dfa91559,disjunctive,disjunctive,True,"[2, 3]","[2, 3]",True,11,39
63fcf26a814570a76bcf2237,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,11,26
6618650ff8e368f495675c9f,disjunctive,disjunctive,True,"[1, 3]","[1, 3]",True,11,36
60da4f9aa1ced7efeecca18a,conjunctive,conjunctive,True,"[1, 2]","[1, 2]",True,12,41
611098e0196fa40fa49f3aeb,disjunctive,disjunctive,True,"[0, 3]","[0, 3]",True,12,40
66e641a57e7f41866f9e705f,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,12,34
63b6ffb02943686f4f354741,disjunctive,disjunctive,True,"[0, 2]","[0, 2]",True,12,40
677816a3469477f7f02c31c8,disjunctive,disjunctive,True,"[2, 3]","[2, 3]",True,12,39
5f4a7a00dc1bde60ab8f7ac5,conjunctive,conjunctive,True,"[0, 1]","[0, 1]",True,12,34
663911a7d0a58901bbe17704,conjunctive,conjunctive,True,"[2, 3]","[2, 3]",True,12,37
5c04872c55614800012b7cf0,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,13,43
58d834cec207720001e2e750,conjunctive,conjunctive,True,"[0, 2]","[0, 2]",True,13,56
602aaba2c2eb7c106100e516,disjunctive,disjunctive,True,"[0, 1]","[0, 1]",True,13,53
669acab688899abf41e03bb5,conjunctive,conjunctive,True,"[0, 3]","[0, 3]",True,14,51
661a38cd3b483dbdaafbf325,conjunctive,conjunctive,True,"[0, 1]","[0, 1]",True,14,40
650a6d03acf66d20e752b42c,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,14,58
6636e5ffb1e341fa2390a2c0,conjunctive,conjunctive,True,"[2, 3]","[2, 3]",True,14,48
558955ebfdf99b6bd06016c9,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,15,59
60b788ecd24b27bb39298936,conjunctive,conjunctive,True,"[2, 3]","[2, 3]",True,15,54
6154973c69da7c97996a19f6,conjunctive,conjunctive,True,"[1, 3]","[1, 3]",True,15,47
60a1e1f4a3707c983a98f185,disjunctive,disjunctive,True,"[1, 3]","[1, 3]",True,16,53
67005512302c242e2c34d34d,conjunctive,conjunctive,True,"[0, 3]","[0, 3]",True,16,65
654e6dcbb060f1ea2d712339,conjunctive,conjunctive,True,"[0, 2]","[0, 2]",True,16,62
678557116f825dad357b623c,disjunctive,disjunctive,True,"[0, 3]","[0, 3]",True,16,41
66ac6629c0da194f918ca3fb,conjunctive,conjunctive,True,"[0, 1]","[0, 1]",True,16,54
62eab7b53494af2a6cb73504,conjunctive,conjunctive,True,"[1, 2]","[1, 2]",True,16,67
