participant_id,num_tests,action_sequence,user_chosen_objects,ground_truth_objects,objects_match,practice_answer_text
5c4b987538878c0001c7883b,3,Test:['A'] | Test:['B'] | Test:['C'] |,['B'],['B'],True,Object B is a Nexiom
5c8c22bafeeaeb0016207a00,5,"Test:['A', 'B', 'C'] | Test:['A', 'B'] | Test:['A'] | Test:['B'] | Test:['C'] |",['A'],['A'],True,Object A is a Nexiom
5e96e85aa7f126177e00ea9f,5,"Test:['A'] | Test:['B'] | Test:['C'] | Test:['A', 'C'] | Test:['A', 'B'] |",['A'],['A'],True,Object A is a Nexiom
6007421356226920359b5f3e,1,"Test:['A', 'B', 'C'] |",[],['A'],False,I don't know
60cf0d251a90eb823bc9b740,5,"Test:['A'] | Test:['B'] | Test:['C'] | Test:['B', 'C'] | Test:['A', 'C'] |",['C'],['C'],True,Object C is a Nexiom
6306710aa6766730321f1259,4,"Test:['A', 'B', 'C'] | Test:['B', 'C'] | Test:['C'] | Test:['B'] |",['C'],['C'],True,Object C is a Nexiom
64136981aa9af9154f69c8d7,4,"Test:['A', 'B'] | Test:['A'] | Test:['B'] | Test:['C'] |",['A'],['A'],True,Object A is a Nexiom
6448e3fb68d60f161a38f5c9,5,"Test:['A', 'B', 'C'] | Test:['A', 'B'] | Test:['B', 'C'] | Test:['C'] | Test:['A', 'C'] |",['C'],['C'],True,Object C is a Nexiom
669a80310e64395f4edd70b6,4,"Test:['A', 'B', 'C'] | Test:['A'] | Test:['B'] | Test:['C'] |",['A'],['A'],True,Object A is a Nexiom
6722ea20fb84b196f0a649b6,3,"Test:['A', 'B'] | Test:['A', 'C'] | Test:['B', 'C'] |",['A'],['A'],True,Object A is a Nexiom
67d43f5c7253c147df75e9e5,5,"Test:['A', 'B'] | Test:['A', 'C'] | Test:['B', 'C'] | Test:['C'] | Test:['B'] |",['B'],['B'],True,Object B is a Nexiom
