participant_id,round,num_tests_round,total_tests_all_rounds,action_sequence,user_chosen_objects,ground_truth_objects,objects_match,ground_truth_rule,user_rule_type,rule_match
5c4b987538878c0001c7883b,1,16,48,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[3, 1] | Test:[0, 1, 2, 3] | Test:[0, 1, 2] | Test:[1, 2, 3] | Test:[0, 2, 3] | Test:[0, 3] | Test:[0] | Test:[3] | Test:[2, 1] | Test:[0] | Test:[0, 3] | Test:[0, 1]","[0, 3]","[0, 3]",True,conjunctive,conjunctive,True
5c4b987538878c0001c7883b,2,16,48,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[0, 3] | Test:[0, 1, 2, 3] | Test:[2, 3] | Test:[1, 3] | Test:[1, 2] | Test:[2, 0] | Test:[2, 1] | Test:[0, 1, 3] | Test:[1, 3, 2] | Test:[0, 1, 3, 2] | Test:[1, 3, 2] | Test:[0, 1, 2]","[0, 1, 2, 3]","[1, 3]",False,conjunctive,conjunctive,True
5c4b987538878c0001c7883b,3,16,48,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[1, 3] | Test:[2, 1] | Test:[0, 1, 2] | Test:[0, 1, 2, 3] | Test:[0, 3] | Test:[0, 1] | Test:[1, 3] | Test:[2, 1, 3] | Test:[0, 2] | Test:[2, 3] | Test:[1] | Test:[2]","[1, 2]","[1, 2]",True,disjunctive,disjunctive,True
5c8c22bafeeaeb0016207a00,1,14,35,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[0, 1, 2, 3] | Test:[0, 1, 2] | Test:[0, 1] | Test:[1, 2] | Test:[1, 2, 3] | Test:[2, 0] | Test:[3, 0] | Test:[2, 1] | Test:[2, 3] | Test:[2, 0]","[0, 2]","[0, 2]",True,conjunctive,conjunctive,True
5c8c22bafeeaeb0016207a00,2,11,35,"Test:[0] | Test:[0, 1] | Test:[0, 1, 2] | Test:[0, 1, 2, 3] | Test:[1, 2, 3] | Test:[2, 3] | Test:[3] | Test:[2] | Test:[0, 2, 3] | Test:[1, 2, 3] | Test:[1, 2]",[3],"[2, 3]",False,conjunctive,conjunctive,True
5c8c22bafeeaeb0016207a00,3,10,35,"Test:[0] | Test:[0, 1] | Test:[0, 1, 2] | Test:[0, 1, 2, 3] | Test:[1, 2, 3] | Test:[2, 3] | Test:[1] | Test:[2, 1] | Test:[2] | Test:[3]","[0, 1]","[0, 1]",True,disjunctive,disjunctive,True
5e96e85aa7f126177e00ea9f,1,13,36,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[0, 1] | Test:[2, 3] | Test:[2, 0] | Test:[2, 1] | Test:[1, 3] | Test:[0, 3] | Test:[0, 3, 2] | Test:[1, 3, 2] | Test:[1, 0, 3, 2]","[2, 3]","[2, 3]",True,conjunctive,conjunctive,True
5e96e85aa7f126177e00ea9f,2,13,36,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[0, 1] | Test:[2, 3] | Test:[0, 2] | Test:[0, 3] | Test:[1, 2] | Test:[1, 3] | Test:[1, 0, 3] | Test:[1, 0, 3, 2] | Test:[1, 3, 2]","[1, 3]","[1, 3]",True,conjunctive,conjunctive,True
5e96e85aa7f126177e00ea9f,3,10,36,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[2, 0] | Test:[3, 0] | Test:[3, 1] | Test:[1, 2] | Test:[1, 2, 3] | Test:[0, 1, 2, 3]","[0, 1]","[0, 1]",True,disjunctive,disjunctive,True
6007421356226920359b5f3e,1,14,33,"Test:[0] | Test:[1] | Test:[1] | Test:[2] | Test:[3] | Test:[2, 3] | Test:[1, 3] | Test:[0, 3] | Test:[0, 1, 2, 3] | Test:[0, 2, 3] | Test:[0, 1, 3] | Test:[0, 1] | Test:[0, 3] | Test:[1, 3]","[1, 3]","[1, 3]",True,conjunctive,conjunctive,True
6007421356226920359b5f3e,2,10,33,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[0, 3] | Test:[0] | Test:[2, 1] | Test:[2, 1] | Test:[3] | Test:[0, 3]","[0, 3]","[0, 3]",True,disjunctive,disjunctive,True
6007421356226920359b5f3e,3,9,33,"Test:[0] | Test:[0, 1] | Test:[0, 1, 2] | Test:[2, 3] | Test:[3] | Test:[2] | Test:[1] | Test:[1] | Test:[3, 2]","[2, 3]","[2, 3]",True,disjunctive,disjunctive,True
60cf0d251a90eb823bc9b740,1,10,37,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[2, 0] | Test:[3, 0] | Test:[3, 1] | Test:[1, 2] | Test:[0, 1, 2] | Test:[0, 1, 2, 3]","[0, 1]","[0, 1]",True,disjunctive,disjunctive,True
60cf0d251a90eb823bc9b740,2,13,37,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[2, 3] | Test:[1, 3] | Test:[0, 3] | Test:[0, 1] | Test:[0, 2] | Test:[2, 1] | Test:[0, 2, 1] | Test:[2, 1, 3] | Test:[0, 2, 1, 3]","[0, 3]","[0, 3]",True,disjunctive,disjunctive,True
60cf0d251a90eb823bc9b740,3,14,37,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[2, 3] | Test:[1, 3] | Test:[0, 3] | Test:[0, 1] | Test:[0, 2] | Test:[0, 3] | Test:[1, 2] | Test:[0, 1, 2] | Test:[1, 2, 3] | Test:[0, 1, 2, 3]","[1, 3]","[1, 3]",True,conjunctive,conjunctive,True
6306710aa6766730321f1259,1,5,20,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[0, 3]","[0, 3]","[0, 3]",True,disjunctive,disjunctive,True
6306710aa6766730321f1259,2,10,20,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[2, 3] | Test:[1, 2, 3] | Test:[0, 1, 2, 3] | Test:[0, 2, 3] | Test:[0, 1, 3] | Test:[0, 1]","[0, 1]","[0, 1]",True,conjunctive,conjunctive,True
6306710aa6766730321f1259,3,5,20,"Test:[0] | Test:[0, 1] | Test:[1] | Test:[2] | Test:[3]","[1, 2]","[1, 2]",True,disjunctive,conjunctive,False
64136981aa9af9154f69c8d7,1,4,16,"Test:[0, 1] | Test:[2] | Test:[3] | Test:[2, 1]",[],"[0, 3]",False,conjunctive,conjunctive,True
64136981aa9af9154f69c8d7,2,6,16,"Test:[0, 1] | Test:[0] | Test:[2] | Test:[3] | Test:[1] | Test:[3, 1]","[1, 3]","[1, 3]",True,disjunctive,disjunctive,True
64136981aa9af9154f69c8d7,3,6,16,"Test:[0, 1] | Test:[2] | Test:[3] | Test:[1] | Test:[0] | Test:[3, 2]","[2, 3]","[2, 3]",True,disjunctive,disjunctive,True
6448e3fb68d60f161a38f5c9,1,9,27,"Test:[0, 1, 2] | Test:[0, 1] | Test:[0, 2] | Test:[1, 3] | Test:[2] | Test:[0] | Test:[1] | Test:[2, 0, 3] | Test:[2, 0]","[0, 2]","[0, 2]",True,conjunctive,conjunctive,True
6448e3fb68d60f161a38f5c9,2,12,27,"Test:[0, 1] | Test:[0, 1, 2] | Test:[0, 1, 2, 3] | Test:[0, 2, 3] | Test:[0] | Test:[0, 1] | Test:[0, 2] | Test:[0, 1, 3] | Test:[1] | Test:[1, 2] | Test:[1] | Test:[1, 2]","[0, 1]","[0, 1]",True,conjunctive,conjunctive,True
6448e3fb68d60f161a38f5c9,3,6,27,"Test:[0, 1] | Test:[2, 3] | Test:[2] | Test:[3] | Test:[1] | Test:[0]","[2, 3]","[2, 3]",True,disjunctive,disjunctive,True
669a80310e64395f4edd70b6,1,4,15,Test:[0] | Test:[1] | Test:[2] | Test:[3],"[1, 2]","[1, 2]",True,disjunctive,disjunctive,True
669a80310e64395f4edd70b6,2,4,15,Test:[0] | Test:[1] | Test:[2] | Test:[3],"[0, 1]","[0, 1]",True,disjunctive,disjunctive,True
669a80310e64395f4edd70b6,3,7,15,"Test:[0] | Test:[1] | Test:[2] | Test:[3] | Test:[0, 1] | Test:[0, 1, 2, 3] | Test:[0, 1, 2]",[],"[1, 3]",False,conjunctive,conjunctive,True
6722ea20fb84b196f0a649b6,1,6,22,"Test:[0, 1] | Test:[2, 3] | Test:[3] | Test:[2] | Test:[1] | Test:[0]","[2, 3]","[2, 3]",True,disjunctive,disjunctive,True
6722ea20fb84b196f0a649b6,2,8,22,"Test:[0, 1] | Test:[0, 2] | Test:[2, 3] | Test:[3, 1] | Test:[2, 1] | Test:[3] | Test:[2] | Test:[1]","[0, 1, 2]","[1, 2]",False,disjunctive,disjunctive,True
6722ea20fb84b196f0a649b6,3,8,22,"Test:[0, 1] | Test:[2, 3] | Test:[2, 0] | Test:[3, 0] | Test:[2, 1] | Test:[0, 1, 2] | Test:[0, 1, 3] | Test:[1, 3]","[1, 3]","[1, 3]",True,conjunctive,conjunctive,True
67d43f5c7253c147df75e9e5,1,10,27,"Test:[0, 1] | Test:[1, 2] | Test:[2, 3] | Test:[2, 0] | Test:[2] | Test:[1, 3] | Test:[3] | Test:[0, 3] | Test:[0] | Test:[1]","[1, 3]","[1, 3]",True,disjunctive,disjunctive,True
67d43f5c7253c147df75e9e5,2,8,27,"Test:[0, 1] | Test:[0, 2] | Test:[0, 3] | Test:[1] | Test:[3, 1] | Test:[1, 2] | Test:[3, 2] | Test:[3]","[2, 3]","[2, 3]",True,disjunctive,disjunctive,True
67d43f5c7253c147df75e9e5,3,9,27,"Test:[0, 1] | Test:[0, 1, 2] | Test:[0, 1, 2, 3] | Test:[1, 2] | Test:[2] | Test:[1] | Test:[3] | Test:[2, 3] | Test:[1, 2, 3]",[0],"[0, 1]",False,conjunctive,disjunctive,False
