participant_id,conjunctive_rounds,disjunctive_rounds,conjunctive_tests,disjunctive_tests,mean_conjunctive,mean_disjunctive,difference,ratio
5c4b987538878c0001c7883b,2,1,"[16, 16]",[16],16.0,16.0,0.0,1.0
5c8c22bafeeaeb0016207a00,2,1,"[14, 11]",[10],12.5,10.0,2.5,1.25
5e96e85aa7f126177e00ea9f,2,1,"[13, 13]",[10],13.0,10.0,3.0,1.3
6007421356226920359b5f3e,1,2,[14],"[10, 9]",14.0,9.5,4.5,1.4736842105263157
60cf0d251a90eb823bc9b740,1,2,[14],"[10, 13]",14.0,11.5,2.5,1.2173913043478262
6306710aa6766730321f1259,1,2,[10],"[5, 5]",10.0,5.0,5.0,2.0
64136981aa9af9154f69c8d7,1,2,[4],"[6, 6]",4.0,6.0,-2.0,0.6666666666666666
6448e3fb68d60f161a38f5c9,2,1,"[9, 12]",[6],10.5,6.0,4.5,1.75
669a80310e64395f4edd70b6,1,2,[7],"[4, 4]",7.0,4.0,3.0,1.75
6722ea20fb84b196f0a649b6,1,2,[8],"[6, 8]",8.0,7.0,1.0,1.1428571428571428
67d43f5c7253c147df75e9e5,1,2,[9],"[10, 8]",9.0,9.0,0.0,1.0
