user_id,has_prior_experience,round_number,num_tests,time_per_test_seconds,total_test_time_seconds,total_round_time_seconds,user_object_identification,ground_truth_objects,object_identification_correct,rule_inference_text,rule_choice,ground_truth_rule,rule_choice_correct
56e32190e414dc000c8b40ae,False,1,7,"[31.399, 12.035, 11.065, 6.998, 8.383, 7.085, 7.99]",84.955,181.033,"[1, 2]","[1, 2]",True,If at least one Nexiom is selected the machine will turn on.,disjunctive,disjunctive,True
58380cb9f1faf8000129673a,False,1,10,"[23.539, 7.081, 7.074, 3.548, 11.611, 16.635, 13.23, 4.756, 21.034, 25.756]",134.264,300.518,"[0, 1]","[0, 1]",True,The machine will turn on if it has at least one Nexiom on the machine.,disjunctive,disjunctive,True
589f4b4b4d580c0001e0a155,False,1,4,"[10.856, 4.967, 5.4, 2.939]",24.162,72.69,"[0, 2]","[0, 2]",True,Odd numbered objects turn on the NExiom machine.,disjunctive,disjunctive,True
58d834cec207720001e2e750,False,1,13,"[114.305, 1.77, 3.137, 2.31, 2.47, 3.805, 15.551, 8.851, 6.747, 9.096, 17.195, 3.363, 4.034]",192.634,277.023,"[0, 2]","[0, 2]",True,"the nexiom machine only switches on when all nexioms are in the machine which is why it only turns on when 1 and 3 are both on the platform, but not when only of them is on",conjunctive,conjunctive,True
594a969df0ea1b0001558178,False,1,12,"[4.805, 6.03, 7.31, 13.811, 3.461, 4.184, 4.087, 4.853, 3.522, 3.826, 7.646, 4.227]",67.762,155.535,"[0, 1, 2, 3]","[1, 2]",False,Object 3 alone does not turn on the machine but 3 with any other object will turn it on.,disjunctive,conjunctive,False
5bdc6d16d9bc4e0001134779,False,1,4,"[4.42, 7.228, 4.363, 5.215]",21.226,64.666,"[0, 1]","[0, 1]",True,When item 1 or 2 is placed on the platform the machine turns on,disjunctive,disjunctive,True
5c04872c55614800012b7cf0,False,1,13,"[3.929, 4.167, 5.082, 5.627, 6.897, 4.762, 4.394, 8.677, 5.122, 7.254, 9.503, 17.901, 7.422]",90.737,225.876,"[1, 3]","[1, 3]",True,"Two and Four are needed to turn on the machine. You can have 1 and 3 on, but they don't matter. It's just two and four that both need to be on.",conjunctive,conjunctive,True
5c452213a6c3df0001d2014f,False,1,8,"[14.393, 3.534, 4.68, 3.809, 5.494, 6.578, 10.469, 0.933]",49.89,183.712,"[0, 1]","[0, 1]",True,"If object 1 or 2 is on the platform, the Nexiom machine will turn on. Both can be placed at the same time or individually, and the Nexiom machine will turn on.",disjunctive,disjunctive,True
5d439cb393066e001a5a4d26,False,1,6,"[92.972, 10.595, 6.42, 8.043, 22.131, 13.659]",153.82,234.11,"[2, 3]","[2, 3]",True,The nexiom machine switches on whenever a Nexiom is placed on the platform.,disjunctive,disjunctive,True
5dac4dad5e53cc001499f1f6,False,1,8,"[10.939, 8.871, 6.353, 4.366, 6.288, 11.516, 11.398, 6.749]",66.48,175.029,"[2, 3]","[2, 3]",True,Both C and D must be added to turn machine on. Adding A and B is allowed but only with both C and D placed,conjunctive,conjunctive,True
5e3b759740e302397f294a2d,False,1,4,"[12.801, 7.902, 3.116, 3.863]",27.682,124.208,"[0, 3]","[0, 3]",True,If either object 1 or object 4 are on the platform it will turn on,disjunctive,disjunctive,True
5e63e793e50a6316a75213c4,False,1,16,"[12.331, 11.206, 6.231, 5.347, 6.765, 6.196, 17.281, 7.337, 13.276, 8.749, 16.009, 6.325, 33.372, 17.059, 6.124, 4.695]",178.303,411.795,"[0, 1, 2, 3]","[1, 2]",False,"the following combos turn on the machine: 2,3,4,  2,3  1,2,3  1,2,3,4. Based on this, I think the rule is that the numbers must be sequential and have the number 2 in it.",conjunctive,conjunctive,True
5ecb0bb39b4189656f60872b,False,1,5,"[3.377, 3.163, 4.967, 7.097, 8.008]",26.612,94.089,"[0, 1]","[0, 1]",True,Either Object 1 or Object 2 must be used.,disjunctive,disjunctive,True
5f76586f6ce6850f223a25ab,False,1,4,"[5.915, 8.539, 2.664, 5.482]",22.6,76.595,"[2, 3]","[2, 3]",True,If it has Object 3 and/or 4 on it.,disjunctive,disjunctive,True
5fa9dab94f9d9c26d3db5226,False,1,4,"[31.98, 11.147, 11.927, 7.318]",62.372,138.798,"[1, 3]","[1, 3]",True,The machine will turn on if Object 2 and/or Object 4 is on the platform.,disjunctive,disjunctive,True
6070fa4b22640f1d2b78c5a7,False,1,2,"[4.508, 5.208]",9.716,104.022,[],"[1, 2]",False,"I misunderstood the instructions. I thought it was the same as the practice round where if at least 1 Nexiom is on the machine, then the machine will turn on. I didn't do enough rounds to determine the rule.",conjunctive,conjunctive,True
609916ce82bc0800c9196cde,False,1,6,"[10.879, 10.429, 8.584, 6.453, 12.929, 5.517]",54.791,116.086,"[0, 2]","[0, 2]",True,"If one or three are on the machine, they turn on. it does not have to be both of them.",disjunctive,disjunctive,True
60a1e1f4a3707c983a98f185,False,1,16,"[4.688, 3.76, 3.669, 3.149, 5.879, 6.342, 5.565, 5.294, 4.766, 3.056, 2.82, 3.099, 6.389, 3.155, 3.096, 3.083]",67.81,106.08,"[1, 3]","[1, 3]",True,The machine switches on when you choose an object that's a Nexiom.,disjunctive,disjunctive,True
60b788ecd24b27bb39298936,False,1,15,"[18.736, 7.23, 4.696, 5.112, 13.269, 4.587, 4.549, 7.454, 3.344, 5.393, 9.578, 4.533, 5.277, 10.305, 8]",112.063,167.515,"[2, 3]","[2, 3]",True,"Objects 3 and 4 must be on the platform to turn on the machine. Objects 1 or 2 can be on or off, it is irrelevant.",conjunctive,conjunctive,True
60bea43aa26919517334ed4a,False,1,8,"[6.447, 7.651, 9.772, 3.791, 15.154, 18.28, 8.149, 13.563]",82.807,225.095,"[1, 3]","[1, 3]",True,2 and 4 are nexioms but both must be on the machine to power it. Excess objects can also be on the platform.,conjunctive,conjunctive,True
60fcc292d13ae9614d4a77a7,False,1,5,"[5.962, 5.857, 4.43, 4.435, 9.973]",30.657,84.753,"[1, 3]","[1, 3]",True,"When the machine had a Nexiom on it, it turned on.",disjunctive,disjunctive,True
60fd05fdd8f4081c41972a1b,False,1,6,"[29.023, 9.494, 4.515, 4.091, 6.907, 4.471]",58.501,205.271,"[0, 3]","[0, 3]",True,The machine turns on if 1 and/or 4 are options,disjunctive,disjunctive,True
60ff33eea57872b7188f12e2,False,1,6,"[5.284, 8.221, 3.38, 3.819, 4.657, 10.181]",35.542,91.329,"[0, 2]","[0, 2]",True,The odd numbers turn on the machine and the even numbers don't.,disjunctive,disjunctive,True
6100b6365a3b961d941f7071,False,1,5,"[6.69, 9.231, 5.921, 18.984, 4.179]",45.005,109.017,[],"[1, 2]",False,None of these items turn on the Nexiom machine.,conjunctive,conjunctive,True
610329975d39376c37360d3c,False,1,6,"[3.697, 4.74, 3.589, 3.187, 6.262, 5.352]",26.827,68.577,"[1, 3]","[1, 3]",True,I think anything with Object 2 or 4 will turn it on,disjunctive,disjunctive,True
610825355ae77bd1867d118e,False,1,10,"[5.33, 5.352, 3.883, 3.459, 3.635, 4.633, 4.431, 5.511, 3.325, 5.44]",44.999,166.772,"[1, 2]","[1, 2]",True,"Object 2 and 3 need to be placed on the machine together. If they are placed on the machine separately, then it will not turn on.",conjunctive,conjunctive,True
610863156133d1485b80d389,False,1,5,"[6.75, 5.03, 2.744, 3.369, 4.948]",22.841,77.48,[0],"[0, 1]",False,"The one test I ran with Object 1 off, the machine was off",disjunctive,disjunctive,True
611098e0196fa40fa49f3aeb,False,1,12,"[80.331, 5.247, 3.904, 3.027, 6.78, 5.998, 3.189, 2.167, 2.207, 2.822, 2.664, 3.73]",122.066,197.037,"[0, 3]","[0, 3]",True,All that matters is that at least one object that can power the machine is placed on the machine.,disjunctive,disjunctive,True
6122548871de12f3a454e5cb,False,1,4,"[4.014, 5.891, 3.173, 3.865]",16.943,74.671,"[2, 3]","[2, 3]",True,Object 3 or 4 must be on the machine.,disjunctive,disjunctive,True
61522983a596d0aa25117787,False,1,5,"[11.129, 5.487, 4.147, 6.401, 8.182]",35.346,136.518,"[2, 3]","[2, 3]",True,"I am not sure there is a specific rule, I just know that both objects which are Nexioms need to be placed on the machine",disjunctive,disjunctive,True
6154973c69da7c97996a19f6,False,1,15,"[4.178, 8.183, 3.626, 3.563, 5.716, 4.09, 6.252, 9.045, 4.871, 28.077, 4.506, 29.3, 15.646, 27.746, 10.488]",165.287,348.208,"[1, 3]","[1, 3]",True,"I think that as long as 2 and 4 are both selected, the machine will turn on.",conjunctive,conjunctive,True
6234e9c483c8aa1f1c5f046a,False,1,6,"[8.619, 4.15, 13.598, 3.928, 3.864, 6.919]",41.078,139.587,"[0, 3]","[0, 3]",True,Objects 1 and 4 turn the object on,disjunctive,disjunctive,True
628eab48a8c8dc1ecec338dd,False,1,7,"[8.402, 13.765, 5.854, 9.787, 12.391, 3.524, 7.226]",60.949,129.408,"[0, 1]","[0, 1]",True,"When either object 1 or object 2 is added, the machine turns on",disjunctive,disjunctive,True
62a0b34cbcc5987a8fa73c39,False,1,2,"[6.297, 4.857]",11.154,104.436,[3],"[1, 3]",False,Object 4 must be on the machine,conjunctive,conjunctive,True
62a779f845a7840040d41bf8,False,1,8,"[4.181, 7.471, 3.782, 4.314, 3.443, 8.563, 5.431, 5.567]",42.752,152.389,"[1, 3]","[1, 3]",True,Object 2 and Object 4 need to both be on the machine in order for the Nexiom machine to turn on.  It does not work with Objects 1 and 3.,conjunctive,conjunctive,True
62e42aaad0079d2ff8e97597,False,1,4,"[5.914, 5.858, 4.88, 6.5]",23.152,87.726,"[0, 2]","[0, 2]",True,Objects 1 and 3 turn on the machine. The other two objects do not.,disjunctive,disjunctive,True
62eab7b53494af2a6cb73504,False,1,16,"[32.376, 3.534, 3.544, 3.532, 6.172, 10.107, 6.657, 8.807, 7.713, 6.576, 8.443, 5.653, 7.243, 11.256, 7.155, 2.921]",131.689,408.775,"[1, 2]","[1, 2]",True,"I think the rule is any combination of 2 and 3 will turn the machine on.  Both 2 and 3 need to be together to make the machine work, 1 and 4 can be added but aren't necessary.",conjunctive,conjunctive,True
6307bd3bb93e804d22332b3e,False,1,7,"[4.704, 3.176, 1.103, 4.263, 3.668, 2.777, 7.326]",27.017,344.895,"[1, 3]","[1, 3]",True,2 and 4 need to be active at the same time,conjunctive,conjunctive,True
63b6ef9027eb90f292852ee4,False,1,7,"[8.119, 6.29, 6.793, 3.879, 6.373, 29.677, 4.928]",66.059,124.292,"[0, 2]","[0, 2]",True,Object 1 or Object 3 will turn it on.,disjunctive,disjunctive,True
63b6ffb02943686f4f354741,False,1,12,"[8.744, 5.313, 4.935, 3.447, 6.985, 5.043, 4.213, 10.073, 8.618, 7.314, 7.11, 5.538]",77.333,147.968,"[0, 2]","[0, 2]",True,At least object 1 or 3 needs to be on the platform in order for this machine to turn on.,disjunctive,disjunctive,True
63fcf26a814570a76bcf2237,False,1,11,"[8.078, 3.466, 5.604, 3.079, 3.509, 4.018, 4.082, 3.316, 5.665, 10.091, 5.622]",56.53,162.982,"[1, 3]","[1, 3]",True,After testing the machines all together and independently it appears to me that there are two Nexioms required to turn the machine on.,conjunctive,conjunctive,True
6452945d35a44481f5757a6c,False,1,6,"[8.187, 4.679, 7.921, 9.782, 10.027, 14.881]",55.477,148.052,"[0, 2]","[0, 2]",True,It's turned on by odd numbers,disjunctive,disjunctive,True
6473bd2d95a488b826bc24c4,False,1,4,"[5.162, 5.684, 3.228, 2.592]",16.666,82.319,"[2, 3]","[2, 3]",True,Objects 3 and 4 are Nexioms.,disjunctive,disjunctive,True
654e6dcbb060f1ea2d712339,False,1,16,"[25.536, 6.078, 3.895, 4.382, 50.294, 7.31, 8.386, 8.32, 10.385, 6.377, 15.151, 8.725, 6.219, 4.651, 17.473, 4.644]",187.826,404.488,"[0, 2]","[0, 2]",True,"The machine only turns on when both objects 1 and 3 are on the machine. If either one or both are not on the machine, it will not turn on.",conjunctive,conjunctive,True
655fd05c12d38751dfa91559,False,1,11,"[7.193, 3.704, 2.752, 2.85, 2.964, 4.713, 6.984, 4.95, 17.403, 7.877, 7.17]",68.56,257.405,"[2, 3]","[2, 3]",True,"Nexioms will power the machine. If there are other objects with it, it will still be powered. I have tested at most three other objects sitting with a Nexiom object and the machine will stay powered.",disjunctive,disjunctive,True
65cbe16e047f780198657d96,False,1,10,"[12.62, 5.402, 7.17, 4.368, 6.667, 3.485, 3.211, 8.806, 8.194, 7.896]",67.819,199.139,"[1, 2]","[1, 2]",True,"For this machine, I believe none of the objects are Nexioms on their own but when 2 and 3 are put together in tandem, they must be activating one another to become Nexioms.",disjunctive,conjunctive,False
65da5ea53cf757c346ee5b18,False,1,7,"[8.545, 9.559, 12.282, 16.118, 8.582, 12.982, 14.544]",82.612,169.13,"[1, 2]","[1, 2]",True,Machine will turn on in Objects 2 or 3 are present,disjunctive,disjunctive,True
65e8d07f6dee8323f49a2b5b,False,1,9,"[8.398, 6.419, 3.477, 3.758, 3.534, 17.825, 9.304, 8.303, 10.458]",71.476,178.966,"[0, 3]","[0, 3]",True,"If object 1 and object 4 are placed on the machine, then it will turn on.",conjunctive,conjunctive,True
6618650ff8e368f495675c9f,False,1,11,"[26.188, 9.32, 3.65, 4.01, 5.065, 4.597, 9.721, 3.161, 12.558, 4.48, 8.982]",91.732,209.146,"[1, 3]","[1, 3]",True,The machine turns on if 2 or 4 are on the machine,disjunctive,disjunctive,True
661a38cd3b483dbdaafbf325,False,1,14,"[7.934, 16.06, 8.952, 4.346, 46.223, 30.946, 3.943, 13.318, 16.374, 15.14, 12.27, 5.543, 7.527, 9.271]",197.847,390.27,"[0, 1]","[0, 1]",True,It only turns on with objects 1 and 2 used together.,conjunctive,conjunctive,True
66311cdfdc6a541751ee782a,False,1,8,"[14.183, 8.632, 8.018, 9.726, 4.733, 6.618, 16.658, 9.529]",78.097,150.663,"[0, 1]","[0, 1]",True,"If at least one Nexiom is placed on the machine, the machine will turn on.",disjunctive,disjunctive,True
6637f53e203e2f5f706d70ec,False,1,8,"[13.136, 12.057, 3.866, 4.638, 12.38, 5.242, 9.013, 4.877]",65.209,129.317,"[1, 3]","[1, 3]",True,Both object 2 and object 4 must be on the machine to turn it on.  They cannot by theirsevles.,conjunctive,conjunctive,True
663911a7d0a58901bbe17704,False,1,12,"[10.818, 6.791, 3.833, 3.52, 5.439, 5.95, 6.894, 4.708, 4.561, 4.543, 8.726, 5.706]",71.489,129.986,"[2, 3]","[2, 3]",True,both 3 and 4 need to be on the others do not matter,conjunctive,conjunctive,True
663a41265f6d1a3d681574c2,False,1,3,"[14.371, 23.295, 10.653]",48.319,101.25,[3],"[1, 3]",False,The Nexiom machine is turned on by Object 4 only,disjunctive,conjunctive,False
664cfc36d05e1ed37dd9f91e,False,1,3,"[4.918, 9.286, 7.712]",21.916,108.642,"[2, 3]","[2, 3]",True,"If a nexiom is on the machine, then the machine turns on.",disjunctive,disjunctive,True
6655fd511b6c8d1fd05de12d,False,1,9,"[23.497, 8.492, 5.354, 10.986, 7.71, 41.46, 32.609, 47.156, 11.398]",188.662,285.215,"[1, 3]","[1, 3]",True,"When Object 2 and 4 are used together, this causes the object to to turn on the machine.",conjunctive,conjunctive,True
665a8db299aa3f8fb8ff8c4d,False,1,7,"[8.037, 5.144, 3.946, 3.74, 3.618, 3.097, 6.107]",33.689,130.131,"[2, 3]","[2, 3]",True,"If either object 3 or 4 is on the platform, the machine will turn on.  Objects 1 and 2 do not have an effect on the machine.",disjunctive,disjunctive,True
6676ddf4aeae188a30f824f5,False,1,8,"[4.056, 8.009, 2.913, 2.168, 3.8, 2.541, 4.405, 5.133]",33.025,106.684,"[1, 3]","[1, 3]",True,I think objects 2 and 4 must be active to turn the machine on.,conjunctive,conjunctive,True
667984ded209db9088acaf30,False,1,4,"[4.513, 7.495, 4.186, 6.77]",22.964,68.217,"[0, 3]","[0, 3]",True,End objects are nexioms,disjunctive,disjunctive,True
667b4043a7f74c3ff540a60d,False,1,4,"[10.693, 3.805, 4.359, 4.239]",23.096,116.871,"[2, 3]","[2, 3]",True,Numbers higher than 2 turn on the Nexiom machine.,disjunctive,disjunctive,True
6684bbcfad6facc374fd6523,False,1,7,"[6.173, 5.37, 6.407, 3.827, 4.947, 21.463, 9.743]",57.93,176.336,"[0, 2]","[0, 2]",True,Object 1 and/or object 3 are Nexioms and can be placed separately or together to turn the machine on,disjunctive,disjunctive,True
668ac4c1b3549e7f656154d4,False,1,4,"[4.117, 3.847, 5.786, 2.866]",16.616,64.762,"[0, 3]","[0, 3]",True,"If a Nexiom is on the machine, it turns on.",disjunctive,disjunctive,True
669abec15946546f5a97a5ff,False,1,4,"[7.359, 8.989, 3.513, 3.402]",23.263,122.066,"[1, 2]","[1, 2]",True,Inner objects are nexioms.,disjunctive,disjunctive,True
66ae0709d8dd8981a2d6ee04,False,1,6,"[66.906, 3.558, 3.437, 1.084, 6.913, 18.74]",100.638,190.871,"[1, 3]","[1, 3]",True,Even-numbered objects power the Nexiom machine (?),disjunctive,disjunctive,True
66d327f02e9e567850b49aee,False,1,5,"[29.006, 10.318, 84.362, 3.79, 1.482]",128.958,208.064,"[0, 1, 2, 3]","[0, 3]",False,All objects need to be on the platform to turn on the machine.,conjunctive,conjunctive,True
66df530525ff636218e380bf,False,1,9,"[9.681, 10.149, 12.14, 8.257, 8.573, 5.244, 4.211, 6.984, 6.973]",72.212,152.249,"[0, 3]","[0, 3]",True,This was the only combination that would turn it on while using minimal pieces.,conjunctive,conjunctive,True
66e641a57e7f41866f9e705f,False,1,12,"[9.08, 8.345, 5.572, 4.673, 8.374, 19.153, 4.66, 6.655, 7.502, 5.687, 8.686, 3.177]",91.564,223.623,"[1, 3]","[1, 3]",True,"To be honest, it seems a little unclear to me. I know that 2 and 4 together turns it on, but separately they don't. I don't understand how that it is the case, but it's what I observed.",conjunctive,conjunctive,True
66ee186efc9a208ef9446a30,False,1,6,"[6.395, 6.614, 4.681, 3.873, 3.012, 4.559]",29.134,211.613,"[0, 1]","[0, 1]",True,The machine turns on if the object placed on it is numbered two or less.,disjunctive,disjunctive,True
67005512302c242e2c34d34d,False,1,16,"[6.299, 5.171, 2.859, 2.641, 6.047, 4.75, 4.355, 4.619, 3.623, 5.197, 2.902, 11.875, 5.911, 24.106, 10.543, 9.234]",110.132,242.123,"[0, 3]","[0, 3]",True,At least Object 1 and Object 4 have to be on the machine platform to turn it on. Other objects on the platform have no additional effect.,conjunctive,conjunctive,True
6722cf4c8679d8fe777e4364,False,1,11,"[5.968, 8.074, 10.096, 4.021, 5.581, 3.606, 3.008, 10.216, 4.494, 3.873, 4.285]",63.222,119.736,"[0, 1]","[0, 1]",True,Objects 1 and 2 must both be on to turn on this Nexiom machine.,conjunctive,conjunctive,True
672cb8ccdb8232e7fee580ed,False,1,5,"[4.157, 5.935, 4.536, 5.288, 16.632]",36.548,112.305,"[0, 2]","[0, 2]",True,Every other button,disjunctive,disjunctive,True
672edcfc36facd5b8d65d53d,False,1,5,"[5.62, 3.207, 4.003, 2.833, 4.178]",19.841,58.405,"[0, 3]","[0, 3]",True,"If the object is placed on the machine, it turns on the Nexiom machine.",conjunctive,disjunctive,False
67758b914f06b14a31669644,False,1,4,"[5.979, 5.229, 15.319, 11.855]",38.382,118.349,"[1, 3]","[1, 3]",True,Only even number objects turn it on,disjunctive,disjunctive,True
677a9ad8c567199c95f2dc4c,False,1,1,[13.86],13.86,184.163,"[0, 3]","[1, 2]",False,I think the objects turn on in  this machine by being placed in the machine,conjunctive,conjunctive,True
678557116f825dad357b623c,False,1,16,"[5.832, 7.829, 6.389, 4.944, 5.748, 7.624, 3.969, 4.347, 3.602, 9.55, 6.794, 4.201, 0.602, 0.922, 0.398, 0.289]",73.04,140.364,"[0, 3]","[0, 3]",True,The objects turn on the nexiom machine if one or more of the nexioms are selected,disjunctive,disjunctive,True
67ab642b1885c553052f7e8a,False,1,1,[7.872],7.872,97.345,[3],"[1, 2]",False,"When the 4th object is placed on the machine, it powers on suggesting it is a Nexiom.",disjunctive,conjunctive,False
67c0af3cdbc67c93008f0616,False,1,6,"[8.59, 8.716, 36.951, 3.201, 2.821, 4.294]",64.573,173.361,"[1, 3]","[1, 3]",True,"Seems like if at least one nexiom is on the machine, the machine turns on. (Didn't check for multiple non-nexioms or multiple nexioms oops :S)",disjunctive,disjunctive,True
